	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[2]	38	0.3137	0.1796	0.5703	0.7610	0.2839	0.4840	55.6376	0.1987	
nMMSBM_[2]	39	0.3123	0.1814	0.5704	0.7610	0.2842	0.4843	55.8542	0.1995	
nMMSBM_[2]	40	0.3136	0.1824	0.5714	0.7616	0.2847	0.4847	55.7199	0.1990	
nMMSBM_[2]	41	0.3135	0.1823	0.5707	0.7618	0.2845	0.4842	55.5558	0.1984	
nMMSBM_[2]	42	0.3130	0.1814	0.5701	0.7629	0.2840	0.4840	55.4847	0.1982	
nMMSBM_[2]	43	0.3118	0.1816	0.5698	0.7609	0.2822	0.4833	56.2096	0.2007	
nMMSBM_[2]	44	0.3131	0.1811	0.5704	0.7609	0.2844	0.4839	55.6609	0.1988	
nMMSBM_[2]	45	0.3132	0.1813	0.5712	0.7605	0.2841	0.4834	56.2454	0.2009	
nMMSBM_[2]	46	0.3145	0.1840	0.5706	0.7607	0.2842	0.4842	55.6659	0.1988	
nMMSBM_[2]	47	0.3122	0.1812	0.5693	0.7616	0.2830	0.4831	55.8019	0.1993	
nMMSBM_[2]	48	0.3127	0.1812	0.5702	0.7609	0.2843	0.4835	55.9108	0.1997	
nMMSBM_[2]	49	0.3142	0.1813	0.5711	0.7616	0.2835	0.4844	55.5814	0.1985	
nMMSBM_[2]	50	0.3125	0.1690	0.5709	0.7626	0.2835	0.4843	55.8095	0.1993	
nMMSBM_[2]	51	0.3135	0.1824	0.5705	0.7622	0.2837	0.4840	55.6913	0.1989	
nMMSBM_[2]	52	0.3135	0.1687	0.5706	0.7615	0.2839	0.4843	55.8480	0.1995	
nMMSBM_[2]	53	0.3126	0.1817	0.5698	0.7606	0.2841	0.4836	55.7813	0.1992	
nMMSBM_[2]	54	0.3120	0.1820	0.5702	0.7615	0.2837	0.4835	55.7005	0.1989	
nMMSBM_[2]	55	0.3115	0.1687	0.5712	0.7610	0.2845	0.4842	55.6667	0.1988	
nMMSBM_[2]	56	0.3135	0.1826	0.5715	0.7613	0.2847	0.4849	55.9665	0.1999	
nMMSBM_[2]	57	0.3134	0.1800	0.5702	0.7613	0.2834	0.4842	55.6256	0.1987	
nMMSBM_[2]	58	0.3133	0.1801	0.5704	0.7612	0.2843	0.4840	55.6577	0.1988	
nMMSBM_[2]	59	0.3137	0.1688	0.5708	0.7611	0.2844	0.4844	55.4826	0.1982	
nMMSBM_[2]	60	0.3130	0.1822	0.5702	0.7608	0.2839	0.4834	55.6720	0.1988	
nMMSBM_[2]	61	0.3145	0.1801	0.5711	0.7612	0.2843	0.4848	55.7457	0.1991	
nMMSBM_[2]	62	0.3139	0.1810	0.5708	0.7613	0.2840	0.4843	55.4895	0.1982	
nMMSBM_[2]	63	0.3131	0.1812	0.5701	0.7600	0.2834	0.4835	55.7836	0.1992	
nMMSBM_[2]	64	0.3131	0.1787	0.5705	0.7614	0.2838	0.4837	55.7516	0.1991	
nMMSBM_[2]	65	0.3123	0.1800	0.5706	0.7627	0.2841	0.4841	55.4817	0.1981	
nMMSBM_[2]	66	0.3127	0.1801	0.5700	0.7608	0.2849	0.4834	55.6536	0.1988	
nMMSBM_[2]	67	0.3128	0.1815	0.5710	0.7613	0.2840	0.4841	55.5525	0.1984	
nMMSBM_[2]	68	0.3100	0.1825	0.5681	0.7618	0.2843	0.4830	55.6677	0.1988	
nMMSBM_[2]	69	0.3127	0.1813	0.5701	0.7603	0.2839	0.4840	56.0345	0.2001	
nMMSBM_[2]	70	0.3142	0.1816	0.5705	0.7621	0.2844	0.4840	55.6345	0.1987	
nMMSBM_[2]	71	0.3135	0.1814	0.5683	0.7627	0.2846	0.4830	55.7775	0.1992	
nMMSBM_[2]	72	0.3135	0.1800	0.5705	0.7615	0.2844	0.4834	55.7083	0.1990	
nMMSBM_[2]	73	0.3132	0.1836	0.5711	0.7623	0.2844	0.4846	55.6796	0.1989	
nMMSBM_[2]	74	0.3119	0.1800	0.5716	0.7615	0.2837	0.4846	55.5753	0.1985	
nMMSBM_[2]	75	0.3123	0.1838	0.5703	0.7614	0.2835	0.4842	55.7646	0.1992	
nMMSBM_[2]	76	0.3116	0.1798	0.5713	0.7607	0.2823	0.4839	55.7455	0.1991	
nMMSBM_[2]	77	0.3115	0.1793	0.5705	0.7613	0.2831	0.4837	55.6878	0.1989	
nMMSBM_[2]	78	0.3120	0.1799	0.5705	0.7614	0.2840	0.4840	55.7794	0.1992	
nMMSBM_[2]	79	0.3133	0.1811	0.5701	0.7600	0.2839	0.4838	55.8588	0.1995	
nMMSBM_[2]	80	0.3146	0.1825	0.5702	0.7627	0.2843	0.4842	55.6551	0.1988	
nMMSBM_[2]	81	0.3126	0.1824	0.5706	0.7608	0.2843	0.4837	55.5774	0.1985	
nMMSBM_[2]	82	0.3116	0.1823	0.5702	0.7620	0.2849	0.4836	55.6317	0.1987	
nMMSBM_[2]	83	0.3137	0.1811	0.5713	0.7629	0.2850	0.4845	55.4688	0.1981	
nMMSBM_[2]	84	0.3118	0.1690	0.5705	0.7628	0.2839	0.4838	55.6416	0.1987	
nMMSBM_[2]	85	0.3099	0.1800	0.5702	0.7602	0.2829	0.4824	55.9929	0.2000	
nMMSBM_[2]	86	0.3122	0.1792	0.5715	0.7610	0.2828	0.4840	55.9494	0.1998	
nMMSBM_[2]	87	0.3102	0.1797	0.5713	0.7612	0.2835	0.4824	55.9360	0.1998	
nMMSBM_[2]	88	0.3139	0.1827	0.5705	0.7622	0.2834	0.4839	55.5413	0.1984	
nMMSBM_[2]	89	0.3112	0.1694	0.5706	0.7610	0.2837	0.4843	56.0047	0.2000	
nMMSBM_[2]	90	0.3123	0.1824	0.5702	0.7606	0.2832	0.4836	55.6160	0.1986	
nMMSBM_[2]	91	0.3121	0.1686	0.5709	0.7612	0.2843	0.4842	56.0497	0.2002	
