	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[2]	69	0.3176	0.3224	0.3361	0.7683	0.2537	0.4542	65.7282	0.0888	
nMMSBM_[2]	70	0.3275	0.3308	0.3360	0.7695	0.2605	0.4534	61.1037	0.0826	
nMMSBM_[2]	71	0.3229	0.3276	0.3328	0.7700	0.2521	0.4506	68.7886	0.0930	
nMMSBM_[2]	72	0.3132	0.3238	0.3323	0.7633	0.2537	0.4511	72.5615	0.0981	
nMMSBM_[2]	73	0.3173	0.3244	0.3399	0.7666	0.2573	0.4554	64.5871	0.0873	
nMMSBM_[2]	74	0.3190	0.3303	0.3415	0.7662	0.2615	0.4593	66.6179	0.0900	
nMMSBM_[2]	75	0.3130	0.3213	0.3375	0.7727	0.2532	0.4551	64.7976	0.0876	
nMMSBM_[2]	76	0.3074	0.3239	0.3321	0.7597	0.2538	0.4505	65.9555	0.0891	
nMMSBM_[2]	77	0.3200	0.3250	0.3397	0.7671	0.2543	0.4564	70.8602	0.0958	
nMMSBM_[2]	78	0.3077	0.3206	0.3274	0.7679	0.2528	0.4482	65.2992	0.0882	
nMMSBM_[2]	79	0.3278	0.3351	0.3447	0.7678	0.2573	0.4595	64.5159	0.0872	
nMMSBM_[2]	80	0.3115	0.3238	0.3344	0.7612	0.2567	0.4561	69.4064	0.0938	
nMMSBM_[2]	81	0.3181	0.3282	0.3372	0.7623	0.2576	0.4546	75.4232	0.1019	
nMMSBM_[2]	82	0.3100	0.3211	0.3253	0.7690	0.2539	0.4469	67.6234	0.0914	
nMMSBM_[2]	83	0.3133	0.3244	0.3298	0.7660	0.2525	0.4520	70.6521	0.0955	
nMMSBM_[2]	84	0.3202	0.3283	0.3409	0.7714	0.2579	0.4572	63.2079	0.0854	
nMMSBM_[2]	85	0.3180	0.3297	0.3341	0.7718	0.2540	0.4531	62.2744	0.0842	
nMMSBM_[2]	86	0.3041	0.3157	0.3262	0.7569	0.2497	0.4469	71.5578	0.0967	
nMMSBM_[2]	87	0.3188	0.3248	0.3370	0.7597	0.2540	0.4537	77.5431	0.1048	
nMMSBM_[2]	88	0.3151	0.3260	0.3312	0.7692	0.2557	0.4514	64.8249	0.0876	
nMMSBM_[2]	89	0.3146	0.3294	0.3367	0.7694	0.2527	0.4563	66.2272	0.0895	
nMMSBM_[2]	90	0.3231	0.3240	0.3336	0.7725	0.2551	0.4525	70.3973	0.0951	
nMMSBM_[2]	91	0.3177	0.3302	0.3369	0.7608	0.2538	0.4541	75.0085	0.1014	
