	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1, 1]	96	0.3211	0.1402	0.2422	0.6272	0.2512	0.4354	3.5132	0.3513	
nMMSBM_[1, 1]	97	0.3205	0.1411	0.2423	0.6259	0.2503	0.4349	3.5078	0.3508	
nMMSBM_[1, 1]	98	0.3224	0.1412	0.2430	0.6268	0.2506	0.4363	3.4999	0.3500	
nMMSBM_[1, 1]	99	0.3226	0.1400	0.2443	0.6268	0.2522	0.4367	3.5020	0.3502	
KNN_[1, 1]	0	0.2474	0.1775	0.1956	0.5438	0.1664	0.3287	5.8908	0.5891	
Rand_[1, 1]	0	0.2546	0.0290	0.1012	0.5021	0.1515	0.2943	4.4805	0.4480	
NB_[1, 2]	0	0.2555	0.2187	0.2351	0.5308	0.1607	0.4619	2.5957	0.2596	
NMF_[1, 2]	0	0.1329	0.0393	0.0593	0.5007	0.1531	0.1549	8.0869	0.8087	
PF_[1, 2]	0	0.9909	0.9818	0.9907	1.0000	0.9997	0.9908	0.0187	0.0019	
TF_[1, 2]	0	0.2546	0.0000	0.2300	0.4960	0.1485	0.4568	2.7018	0.2702	
BL_[1, 2]	0	0.2546	0.2300	0.2300	0.5000	0.1508	0.4605	2.5859	0.2586	
nMMSBM_[1, 2]	0	0.2546	0.1995	0.2256	0.5006	0.1514	0.3934	3.8377	0.3838	
nMMSBM_[1, 2]	1	0.2546	0.0240	0.0552	0.4954	0.1482	0.2385	5.1178	0.5118	
nMMSBM_[1, 2]	2	0.2546	0.0420	0.0725	0.4983	0.1494	0.2839	4.1354	0.4135	
nMMSBM_[1, 2]	3	0.2546	0.0232	0.0296	0.5048	0.1512	0.2093	5.4826	0.5483	
nMMSBM_[1, 2]	4	0.2546	0.0317	0.0788	0.4975	0.1494	0.2618	5.0579	0.5058	
nMMSBM_[1, 2]	5	0.2546	0.0218	0.0590	0.4975	0.1501	0.2549	4.8914	0.4891	
nMMSBM_[1, 2]	6	0.2546	0.0441	0.0981	0.5009	0.1513	0.2920	4.4431	0.4443	
nMMSBM_[1, 2]	7	0.2546	0.0469	0.1089	0.5002	0.1507	0.2994	4.5702	0.4570	
nMMSBM_[1, 2]	8	0.2546	0.0455	0.1036	0.5014	0.1521	0.3108	4.0270	0.4027	
nMMSBM_[1, 2]	9	0.2546	0.0224	0.0472	0.5016	0.1517	0.2376	4.9942	0.4994	
nMMSBM_[1, 2]	10	0.2546	0.0720	0.1632	0.4959	0.1497	0.3435	4.4325	0.4433	
nMMSBM_[1, 2]	11	0.2546	0.0611	0.1076	0.5001	0.1514	0.3058	4.2312	0.4231	
nMMSBM_[1, 2]	12	0.2546	0.0394	0.0634	0.4996	0.1523	0.2582	4.6994	0.4699	
nMMSBM_[1, 2]	13	0.2546	0.1167	0.1864	0.4970	0.1506	0.3741	3.6870	0.3687	
nMMSBM_[1, 2]	14	0.2546	0.0389	0.0935	0.5019	0.1526	0.2859	4.5461	0.4546	
nMMSBM_[1, 2]	15	0.2546	0.0315	0.0719	0.4974	0.1493	0.2543	5.0570	0.5057	
nMMSBM_[1, 2]	16	0.2547	0.0313	0.0760	0.4937	0.1489	0.2702	4.6474	0.4647	
nMMSBM_[1, 2]	17	0.2546	0.0401	0.0955	0.5021	0.1516	0.2842	4.7034	0.4703	
nMMSBM_[1, 2]	18	0.2547	0.0165	0.0278	0.5003	0.1502	0.2096	5.3089	0.5309	
nMMSBM_[1, 2]	19	0.2546	0.0396	0.1014	0.4977	0.1495	0.2907	4.7169	0.4717	
nMMSBM_[1, 2]	20	0.2546	0.0237	0.0591	0.5041	0.1522	0.2475	4.8598	0.4860	
nMMSBM_[1, 2]	21	0.2546	0.0295	0.0604	0.4984	0.1509	0.2361	5.3224	0.5322	
nMMSBM_[1, 2]	22	0.2546	0.0451	0.0921	0.4985	0.1499	0.2926	4.5109	0.4511	
nMMSBM_[1, 2]	23	0.2546	0.0429	0.0922	0.5004	0.1504	0.3024	4.1335	0.4133	
nMMSBM_[1, 2]	24	0.2546	0.0366	0.0698	0.5020	0.1521	0.2607	4.7940	0.4794	
nMMSBM_[1, 2]	25	0.2546	0.0328	0.0699	0.4985	0.1500	0.2336	5.6451	0.5645	
nMMSBM_[1, 2]	26	0.2546	0.0351	0.0871	0.4966	0.1496	0.2884	4.3928	0.4393	
nMMSBM_[1, 2]	27	0.2546	0.0386	0.0904	0.5024	0.1517	0.2901	4.4277	0.4428	
nMMSBM_[1, 2]	28	0.2546	0.0623	0.1316	0.5012	0.1512	0.3305	3.9947	0.3995	
nMMSBM_[1, 2]	29	0.2546	0.0337	0.0695	0.5039	0.1531	0.2723	4.5684	0.4568	
nMMSBM_[1, 2]	30	0.2546	0.0315	0.0751	0.5009	0.1519	0.2537	5.2228	0.5223	
nMMSBM_[1, 2]	31	0.2546	0.0403	0.0835	0.5005	0.1500	0.2646	4.9630	0.4963	
nMMSBM_[1, 2]	32	0.2546	0.0195	0.0419	0.4975	0.1510	0.2278	5.0598	0.5060	
nMMSBM_[1, 2]	33	0.2546	0.0308	0.0764	0.5007	0.1509	0.2680	4.6786	0.4679	
nMMSBM_[1, 2]	34	0.2546	0.0610	0.1432	0.5004	0.1515	0.3518	3.7261	0.3726	
nMMSBM_[1, 2]	35	0.2546	0.0418	0.0720	0.5043	0.1525	0.2366	5.4979	0.5498	
nMMSBM_[1, 2]	36	0.2546	0.0358	0.0650	0.4993	0.1517	0.2513	4.9348	0.4935	
nMMSBM_[1, 2]	37	0.2546	0.0331	0.0822	0.4941	0.1489	0.2724	4.6952	0.4695	
nMMSBM_[1, 2]	38	0.2546	0.0563	0.1201	0.4994	0.1504	0.3176	4.1881	0.4188	
nMMSBM_[1, 2]	39	0.2546	0.0707	0.1555	0.4961	0.1496	0.3682	3.6500	0.3650	
nMMSBM_[1, 2]	40	0.2546	0.0546	0.1007	0.5052	0.1532	0.3166	4.0171	0.4017	
nMMSBM_[1, 2]	41	0.2546	0.0387	0.0868	0.4996	0.1510	0.2805	4.4936	0.4494	
nMMSBM_[1, 2]	42	0.2546	0.0602	0.1237	0.4953	0.1490	0.3209	4.1337	0.4134	
nMMSBM_[1, 2]	43	0.2546	0.0683	0.1293	0.4997	0.1509	0.3120	4.6005	0.4601	
nMMSBM_[1, 2]	44	0.2546	0.0398	0.1002	0.5003	0.1514	0.2953	4.3936	0.4394	
nMMSBM_[1, 2]	45	0.2546	0.1095	0.1860	0.5022	0.1512	0.3749	3.8706	0.3871	
nMMSBM_[1, 2]	46	0.2546	0.1242	0.1857	0.4953	0.1487	0.3585	4.1173	0.4117	
nMMSBM_[1, 2]	47	0.2546	0.1026	0.1841	0.4941	0.1479	0.3609	4.3212	0.4321	
nMMSBM_[1, 2]	48	0.2546	0.0542	0.1269	0.5025	0.1528	0.3120	4.5194	0.4519	
nMMSBM_[1, 2]	49	0.2546	0.0593	0.1143	0.5025	0.1520	0.3255	4.0483	0.4048	
nMMSBM_[1, 2]	50	0.2546	0.0482	0.0824	0.4997	0.1511	0.2662	4.9365	0.4937	
nMMSBM_[1, 2]	51	0.2546	0.0301	0.0748	0.4978	0.1508	0.2822	4.4112	0.4411	
nMMSBM_[1, 2]	52	0.2546	0.0637	0.1362	0.5055	0.1542	0.3098	4.8056	0.4806	
nMMSBM_[1, 2]	53	0.2546	0.0729	0.1660	0.5012	0.1521	0.3835	3.3713	0.3371	
nMMSBM_[1, 2]	54	0.2546	0.0281	0.0584	0.4978	0.1507	0.2448	5.1101	0.5110	
nMMSBM_[1, 2]	55	0.2546	0.0467	0.0881	0.4958	0.1502	0.2867	4.4103	0.4410	
nMMSBM_[1, 2]	56	0.2546	0.1015	0.1350	0.5082	0.1536	0.3422	3.9707	0.3971	
nMMSBM_[1, 2]	57	0.2546	0.0300	0.0694	0.5005	0.1513	0.2545	4.9814	0.4981	
